club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url
8344,albirex-niigata,Albirex Niigata,JAP1,,32,26.9,4,12.5,2,Denka Big Swan Stadium,42300,€-325k,Rikizo Matsuhashi,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/albirex-niigata/startseite/verein/8344
8457,shonan-bellmare,Shonan Bellmare,JAP1,,34,27.2,2,5.9,0,Lemongas Stadium Hiratsuka,15690,+€1.20m,Satoshi Yamaguchi,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/shonan-bellmare/startseite/verein/8457
855,ea-guingamp,EA Guingamp,FR1,,27,25.4,7,25.9,1,Stade du Roudourou,18120,+€3.70m,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/ea-guingamp/startseite/verein/855
86,sv-werder-bremen,SV Werder Bremen,L1,,31,25.0,21,67.7,9,Weserstadion,41800,+€6.00m,Horst Steffen,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/sv-werder-bremen/startseite/verein/86
862,chievo-verona,Chievo Verona,IT1,,0,,0,,0,Marcantonio Bentegodi,31045,+-0,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/chievo-verona/startseite/verein/862
8718,sport-club-do-recife,Sport Club do Recife,BRA1,,29,27.1,1,3.4,0,Estádio Adelmar da Costa Carvalho,35000,+€2.95m,Mariano Soso,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/sport-club-do-recife/startseite/verein/8718
873,crystal-palace,Crystal Palace,GB1,,31,26.3,21,67.7,19,Selhurst Park,25486,+-0,Oliver Glasner,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/crystal-palace/startseite/verein/873
8793,red-bull-bragantino,Red Bull Bragantino,BRA1,,39,25.6,9,23.1,3,Estádio Municipal Cicero De Souza Marques,12000,+€10.50m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/red-bull-bragantino/startseite/verein/8793
8816,fc-dallas,FC Dallas,MLS1,,35,24.4,21,60.0,4,Toyota Stadium,20500,€-778k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-dallas/startseite/verein/8816
89,1-fc-union-berlin,1.FC Union Berlin,L1,,31,26.0,18,58.1,7,Stadion An der Alten Försterei,22012,€-400k,Steffen Baumgart,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/1-fc-union-berlin/startseite/verein/89
897,deportivo-la-coruna,Deportivo de La Coruña,ES1,,24,27.7,3,12.5,0,Abanca Riazor,32912,€-435k,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/deportivo-la-coruna/startseite/verein/897
8970,frosinone-calcio,Frosinone Calcio,IT1,,31,23.8,15,48.4,5,Benito Stirpe,16227,+€5.81m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/frosinone-calcio/startseite/verein/8970
9168,houston-dynamo-fc,Houston Dynamo,MLS1,,27,27.9,19,70.4,3,Shell Energy Stadium,22039,€-9.36m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/houston-dynamo-fc/startseite/verein/9168
928,club-atletico-platense,Club Atlético Platense,ARG1,,32,26.1,2,6.3,0,Ciudad de Vicente López,28530,+€2.32m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-platense/startseite/verein/928
931,fc-fulham,Fulham FC,GB1,,22,27.8,18,81.8,10,Craven Cottage,29589,€-6.00m,Marco Silva,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-fulham/startseite/verein/931
940,celta-vigo,Celta de Vigo,ES1,,29,27.1,6,20.7,5,Abanca Balaídos,22803,+-0,Claudio Giráldez,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/celta-vigo/startseite/verein/940
943,yokohama-fc,Yokohama FC,JAP1,,29,26.0,4,13.8,0,NHK Spring Mitsuzawa Stadium,15454,+-0,Shuhei Yomoda,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/yokohama-fc/startseite/verein/943
9597,avispa-fukuoka,Avispa Fukuoka,JAP1,,38,26.2,1,2.6,0,Best Denki Stadium,21562,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/avispa-fukuoka/startseite/verein/9597
9598,kawasaki-frontale,Kawasaki Frontale,JAP1,,33,26.7,7,21.2,1,Uvance Todoroki Stadium by Fujitsu,27495,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/kawasaki-frontale/startseite/verein/9598
9636,seattle-sounders-fc,Seattle Sounders FC,MLS1,,28,27.5,11,39.3,4,Lumen Field,68740,+€6.43m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/seattle-sounders-fc/startseite/verein/9636
969,montpellier-hsc,Montpellier HSC,FR1,,23,24.3,10,43.5,2,Stade de la Mosson,22000,+€6.55m,Michel Der Zakarian,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/montpellier-hsc/startseite/verein/969
976,cf-uniao-madeira,CF União Madeira (-2021),PO1,,0,,0,,0,Centro Desportivo da Madeira,2500,+-0,,2015,../data/raw/transfermarkt-scraper/2015/clubs.json.gz,https://www.transfermarkt.co.uk/cf-uniao-madeira/startseite/verein/976
978,vasco-da-gama-rio-de-janeiro,Club de Regatas Vasco da Gama,BRA1,,32,26.1,10,31.3,5,Estádio São Januário,24584,+€23.85m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/vasco-da-gama-rio-de-janeiro/startseite/verein/978
979,moreirense-fc,Moreirense FC,PO1,,24,23.4,17,70.8,1,Estádio C. J. de Almeida Freitas,6150,+-0,António da Costa,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979
982,cd-nacional,CD Nacional,PO1,,28,24.9,22,78.6,2,Estádio da Madeira,5200,+-0,Tiago Margarido,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/cd-nacional/startseite/verein/982
984,west-bromwich-albion,West Bromwich Albion,GB1,,25,27.8,8,32.0,4,The Hawthorns,26850,€-1.35m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/west-bromwich-albion/startseite/verein/984
985,manchester-united,Manchester United,GB1,,32,24.9,19,59.4,18,Old Trafford,74879,+€44.00m,Rúben Amorim,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/manchester-united/startseite/verein/985
989,afc-bournemouth,AFC Bournemouth,GB1,,30,25.4,21,70.0,13,Vitality Stadium,11307,€-7.10m,Andoni Iraola,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/afc-bournemouth/startseite/verein/989
993,fc-cordoba,Córdoba CF,ES1,,24,27.9,4,16.7,0,Nuevo Arcángel,21822,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/fc-cordoba/startseite/verein/993
995,fc-nantes,FC Nantes,FR1,,26,25.1,11,42.3,8,Stade de la Beaujoire,35322,+-0,Luís Castro,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-nantes/startseite/verein/995
